,時刻,エリアプライス中国(円/kWh)
0,2021-09-18 0:30:00,7.14
1,2021-09-18 1:00:00,7.06
2,2021-09-18 1:30:00,6.93
3,2021-09-18 2:00:00,6.9
4,2021-09-18 2:30:00,6.77
5,2021-09-18 3:00:00,6.77
6,2021-09-18 3:30:00,6.77
7,2021-09-18 4:00:00,6.77
8,2021-09-18 4:30:00,6.77
9,2021-09-18 5:00:00,6.77
10,2021-09-18 5:30:00,6.76
11,2021-09-18 6:00:00,6.76
12,2021-09-18 6:30:00,6.76
13,2021-09-18 7:00:00,6.6
14,2021-09-18 7:30:00,6.6
15,2021-09-18 8:00:00,6.55
16,2021-09-18 8:30:00,6.54
17,2021-09-18 9:00:00,6.93
18,2021-09-18 9:30:00,7.01
19,2021-09-18 10:00:00,7.01
20,2021-09-18 10:30:00,6.98
21,2021-09-18 11:00:00,6.55
22,2021-09-18 11:30:00,7.11
23,2021-09-18 12:00:00,7.15
24,2021-09-18 12:30:00,7.19
25,2021-09-18 13:00:00,6.78
26,2021-09-18 13:30:00,7.12
27,2021-09-18 14:00:00,7.11
28,2021-09-18 14:30:00,7.19
29,2021-09-18 15:00:00,7.43
30,2021-09-18 15:30:00,7.31
31,2021-09-18 16:00:00,7.72
32,2021-09-18 16:30:00,7.41
33,2021-09-18 17:00:00,8.17
34,2021-09-18 17:30:00,10.84
35,2021-09-18 18:00:00,14.53
36,2021-09-18 18:30:00,12.01
37,2021-09-18 19:00:00,12.01
38,2021-09-18 19:30:00,11.61
39,2021-09-18 20:00:00,10.48
40,2021-09-18 20:30:00,9.31
41,2021-09-18 21:00:00,8.17
42,2021-09-18 21:30:00,9.65
43,2021-09-18 22:00:00,8.0
44,2021-09-18 22:30:00,9.44
45,2021-09-18 23:00:00,7.46
46,2021-09-18 23:30:00,7.31
47,2021-09-19 00:00:00,7.31
