,時刻,エリアプライス東京(円/kWh)
0,2021-09-22 0:30:00,6.8
1,2021-09-22 1:00:00,6.8
2,2021-09-22 1:30:00,6.62
3,2021-09-22 2:00:00,6.62
4,2021-09-22 2:30:00,6.77
5,2021-09-22 3:00:00,6.77
6,2021-09-22 3:30:00,6.76
7,2021-09-22 4:00:00,6.76
8,2021-09-22 4:30:00,6.76
9,2021-09-22 5:00:00,6.92
10,2021-09-22 5:30:00,6.92
11,2021-09-22 6:00:00,6.92
12,2021-09-22 6:30:00,6.93
13,2021-09-22 7:00:00,7.05
14,2021-09-22 7:30:00,7.03
15,2021-09-22 8:00:00,7.03
16,2021-09-22 8:30:00,9.73
17,2021-09-22 9:00:00,10.05
18,2021-09-22 9:30:00,7.26
19,2021-09-22 10:00:00,7.15
20,2021-09-22 10:30:00,7.21
21,2021-09-22 11:00:00,7.13
22,2021-09-22 11:30:00,7.13
23,2021-09-22 12:00:00,7.13
24,2021-09-22 12:30:00,7.56
25,2021-09-22 13:00:00,7.56
26,2021-09-22 13:30:00,10.04
27,2021-09-22 14:00:00,10.04
28,2021-09-22 14:30:00,10.36
29,2021-09-22 15:00:00,10.51
30,2021-09-22 15:30:00,10.36
31,2021-09-22 16:00:00,11.0
32,2021-09-22 16:30:00,11.64
33,2021-09-22 17:00:00,11.64
34,2021-09-22 17:30:00,10.58
35,2021-09-22 18:00:00,10.36
36,2021-09-22 18:30:00,10.36
37,2021-09-22 19:00:00,10.36
38,2021-09-22 19:30:00,10.36
39,2021-09-22 20:00:00,10.36
40,2021-09-22 20:30:00,10.17
41,2021-09-22 21:00:00,10.06
42,2021-09-22 21:30:00,9.4
43,2021-09-22 22:00:00,8.09
44,2021-09-22 22:30:00,7.36
45,2021-09-22 23:00:00,7.36
46,2021-09-22 23:30:00,7.46
47,2021-09-23 00:00:00,7.32
