id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,気温,湿度,温度計_残電池
1,2021-12-05 00:30:00,,0.0,0.0888,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-12-05 01:00:00,,0.0,0.06875,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-12-05 01:30:00,,0.0,0.0888,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-12-05 02:00:00,,0.0,0.0737,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-12-05 02:30:00,,0.0,0.0816,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-12-05 03:00:00,,0.0,0.06845,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-12-05 03:30:00,,0.0,0.0791,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-12-05 04:00:00,,0.0,0.06745,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-12-05 04:30:00,,0.0,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-12-05 05:00:00,,0.0,0.07165,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-12-05 05:30:00,,0.0,0.0616,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-12-05 06:00:00,,0.0,0.07495,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-12-05 06:30:00,,0.0,0.06225,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-12-05 07:00:00,,0.00955,0.05825,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-12-05 07:30:00,,0.22925,-0.1647,,,,,,,,,,,,,,,,,,,,,,,,,
